"ano","pais","sigla","regiao","democracia","pib","populacao","variavel_dependente","despesas","mortes"
1997,"Japan","JPN","Asia",0.838,40760,126057000,0,0,84
1997,"Mexico","MEX","Americas",0.559,4980,93183094,1,0,2268
1997,"Netherlands","NLD","Europe",0.86,29400,15610650,1,1.95546704530716,6
1997,"Peru","PER","Americas",0.368,2270,25365386,1,0,3276
1997,"Poland","POL","Europe",0.87,4240,38649660,0,3.68358427286148,315
1997,"Portugal","AZO","Europe",0.872,12370,10108977,0,1.70775416493416,87
1997,"Portugal","PRT","Europe",0.872,12370,10108977,0,3.41550832986832,87
1997,"Romania","ROU","Europe",0.622,1590,22553978,0,2.39560437202454,96
1997,"South Africa","ZAF","Africa",0.664,3790,45285048,1,0,60
1997,"Spain","ESP","Europe",0.891,15820,40057389,1,5.81295488029718,104
1997,"Switzerland","CHE","Europe",0.89,49290,7088906,1,2.26605798304081,0
1997,"Thailand","THA","Asia",0.484,2670,60989108,1,0,424
1998,"Albania","ALB","Europe",0.394,860,3128530,0,0,0
1998,"Austria","AUT","Europe",0.861,27970,7976789,1,1.79120717942715,0
1998,"Belgium","BEL","Europe",0.882,26530,10203008,1,3.92544242739677,4
1998,"Bulgaria","BGR","Europe",0.703,1440,8256786,0,1.88611768186092,9
1998,"Canada","CAN","Americas",0.84,20900,30155173,1,0,124
1998,"Colombia","COL","Americas",0.549,2590,37944414,0,0,416
1998,"Cyprus","CYP","Asia",0.766,15490,914660,0,1.92964819818735,156
1998,"France","FRA","Europe",0.876,25820,60192790,1,3.64222252368927,45
1998,"Germany","DEU","Europe",0.897,27950,82047195,1,1.99502132087946,12
1998,"Greece","GRC","Europe",0.886,NA,10720509,1,3.62995582818985,51
1998,"Ireland","IRL","Europe",0.886,21430,3712696,0,2.22366532683372,6
1998,"Israel","ISR","Asia",0.772,19510,5971000,0,0,0
1998,"Italy","ITA","Europe",0.849,22220,56906744,1,5.84644065052271,510
1998,"Japan","JPN","Asia",0.838,35010,126400000,0,0,171
1998,"Mexico","MEX","Americas",0.602,5380,94767284,1,0,3396
1998,"Netherlands","NLD","Europe",0.851,27830,15707209,1,3.89550212025642,0
1998,"Peru","PER","Americas",0.354,2140,25818226,1,0,244
1998,"Poland","POL","Europe",0.875,4360,38663481,0,3.69443580508232,219
1998,"Portugal","AZO","Europe",0.872,12190,10160196,0,1.72717612981796,30
1998,"Romania","ROU","Europe",0.622,1580,22507344,0,10.6999998092651,333
1998,"Slovenia","SVN","Europe",0.846,11000,1981629,0,1.43122935295105,0
1998,"South Africa","ZAF","Africa",0.661,3420,45852166,1,0,172
1998,"Spain","ESP","Europe",0.891,15440,40223509,1,3.87874778360128,0
1998,"Switzerland","CHE","Europe",0.89,46130,7110001,1,2.26172269880772,0
1999,"Australia","AUS","Oceania",0.886,21610,18812264,1,10.5340316146612,32
1999,"Austria","AUT","Europe",0.86,27080,7992324,1,3.52605602145195,212
1999,"Belarus","BLR","Europe",0.332,1410,10026738,0,0,2
1999,"Belgium","BEL","Europe",0.883,25980,10226419,1,3.94188946485519,8
1999,"Bulgaria","BGR","Europe",0.715,1480,8210624,0,1.86251898109913,0
1999,"Canada","CAN","Americas",0.84,21450,30401286,1,0,28
1999,"Chile","CHL","Americas",0.85,5150,15176410,1,0,0
1999,"Colombia","COL","Americas",0.54,2360,38585033,0,0,5104
1999,"Denmark","DNK","Europe",0.906,33060,5321799,1,1.55219900608063,21
1999,"France","FRA","Europe",0.876,25420,60504420,1,14.5364978313446,438
1999,"Germany","DEU","Europe",0.897,26840,82100243,1,7.94063019752503,120
1999,"Greece","GRC","Europe",0.886,NA,10761698,1,1.82970297336578,429
1999,"Hungary","HUN","Europe",0.848,4490,10237530,0,5.55281174182892,144
1999,"Ireland","IRL","Europe",0.886,22690,3754786,0,2.48274463415146,24
1999,"Italy","ITA","Europe",0.849,21990,56916317,1,3.96725872159004,3
1999,"Japan","JPN","Asia",0.838,34320,126631000,0,0,258
1999,"Latvia","LVA","Europe",0.817,2990,2390482,0,1.51689046621323,18
1999,"Lithuania","LTU","Europe",0.827,2980,3524238,0,4,102
1999,"Netherlands","NLD","Europe",0.868,28150,15812088,1,1.94934669137001,39
1999,"Peru","PER","Americas",0.354,2020,26252239,1,0,460
1999,"Poland","POL","Europe",0.875,4440,38660271,0,4.00758334994316,471
1999,"Romania","ROU","Europe",0.622,1610,22472040,0,6.87425136566164,102
1999,"South Africa","ZAF","Africa",0.705,3330,46364681,1,0,228
1999,"Spain","ESP","Europe",0.891,15480,40386875,1,5.80863372981548,24
1999,"Spain","SPI","Africa",0.891,15480,40386875,1,1.93621124327183,0
